"STATISTIC Label","Year","Age Group","Sex","Region","UNIT","VALUE"
"Estimated Population (Persons in April)","2011","10 - 14 years","Male","Mid-East","Thousand","24.2"
"Estimated Population (Persons in April)","2011","10 - 14 years","Male","Midland","Thousand","10.4"
"Estimated Population (Persons in April)","2011","10 - 14 years","Female","State","Thousand","146.6"
"Estimated Population (Persons in April)","2011","10 - 14 years","Female","Border","Thousand","13.6"
"Estimated Population (Persons in April)","2011","10 - 14 years","Female","West","Thousand","14.2"
"Estimated Population (Persons in April)","2011","10 - 14 years","Female","Mid-West","Thousand","15.7"
"Estimated Population (Persons in April)","2011","10 - 14 years","Female","South-East","Thousand","13.9"
"Estimated Population (Persons in April)","2011","10 - 14 years","Female","South-West","Thousand","21.2"
"Estimated Population (Persons in April)","2011","10 - 14 years","Female","Dublin","Thousand","35.2"
"Estimated Population (Persons in April)","2011","10 - 14 years","Female","Mid-East","Thousand","22.8"
"Estimated Population (Persons in April)","2011","10 - 14 years","Female","Midland","Thousand","10"
"Estimated Population (Persons in April)","2011","15 - 19 years","Both sexes","State","Thousand","281"
"Estimated Population (Persons in April)","2011","15 - 19 years","Both sexes","Border","Thousand","25.9"
"Estimated Population (Persons in April)","2011","15 - 19 years","Both sexes","West","Thousand","27.9"
"Estimated Population (Persons in April)","2011","15 - 19 years","Both sexes","Mid-West","Thousand","29.9"
"Estimated Population (Persons in April)","2011","15 - 19 years","Both sexes","South-East","Thousand","25.9"
"Estimated Population (Persons in April)","2011","15 - 19 years","Both sexes","South-West","Thousand","40.8"
"Estimated Population (Persons in April)","2011","15 - 19 years","Both sexes","Dublin","Thousand","72"
"Estimated Population (Persons in April)","2011","15 - 19 years","Both sexes","Mid-East","Thousand","40.7"
"Estimated Population (Persons in April)","2011","15 - 19 years","Both sexes","Midland","Thousand","18.1"
"Estimated Population (Persons in April)","2011","15 - 19 years","Male","State","Thousand","143.7"
"Estimated Population (Persons in April)","2011","15 - 19 years","Male","Border","Thousand","13.3"
"Estimated Population (Persons in April)","2011","15 - 19 years","Male","West","Thousand","14.2"
"Estimated Population (Persons in April)","2011","15 - 19 years","Male","Mid-West","Thousand","15.3"
"Estimated Population (Persons in April)","2011","15 - 19 years","Male","South-East","Thousand","13.1"
"Estimated Population (Persons in April)","2011","15 - 19 years","Male","South-West","Thousand","20.7"
"Estimated Population (Persons in April)","2011","15 - 19 years","Male","Dublin","Thousand","36.9"
"Estimated Population (Persons in April)","2011","15 - 19 years","Male","Mid-East","Thousand","20.9"
"Estimated Population (Persons in April)","2011","15 - 19 years","Male","Midland","Thousand","9.2"
"Estimated Population (Persons in April)","2011","15 - 19 years","Female","State","Thousand","137.4"
"Estimated Population (Persons in April)","2011","15 - 19 years","Female","Border","Thousand","12.6"
"Estimated Population (Persons in April)","2011","15 - 19 years","Female","West","Thousand","13.6"
"Estimated Population (Persons in April)","2011","15 - 19 years","Female","Mid-West","Thousand","14.6"
"Estimated Population (Persons in April)","2011","15 - 19 years","Female","South-East","Thousand","12.8"
"Estimated Population (Persons in April)","2011","15 - 19 years","Female","South-West","Thousand","20.1"
"Estimated Population (Persons in April)","2011","15 - 19 years","Female","Dublin","Thousand","35.1"
"Estimated Population (Persons in April)","2011","15 - 19 years","Female","Mid-East","Thousand","19.8"
"Estimated Population (Persons in April)","2011","15 - 19 years","Female","Midland","Thousand","8.9"
"Estimated Population (Persons in April)","2011","20 - 24 years","Both sexes","State","Thousand","298.6"
"Estimated Population (Persons in April)","2011","20 - 24 years","Both sexes","Border","Thousand","23.8"
"Estimated Population (Persons in April)","2011","20 - 24 years","Both sexes","West","Thousand","28.1"
"Estimated Population (Persons in April)","2011","20 - 24 years","Both sexes","Mid-West","Thousand","29.3"
"Estimated Population (Persons in April)","2011","20 - 24 years","Both sexes","South-East","Thousand","24.9"
"Estimated Population (Persons in April)","2011","20 - 24 years","Both sexes","South-West","Thousand","42"
"Estimated Population (Persons in April)","2011","20 - 24 years","Both sexes","Dublin","Thousand","93.6"
"Estimated Population (Persons in April)","2011","20 - 24 years","Both sexes","Mid-East","Thousand","39.7"
"Estimated Population (Persons in April)","2011","20 - 24 years","Both sexes","Midland","Thousand","17.4"
"Estimated Population (Persons in April)","2011","20 - 24 years","Male","State","Thousand","148.6"
"Estimated Population (Persons in April)","2011","20 - 24 years","Male","Border","Thousand","12"
"Estimated Population (Persons in April)","2011","20 - 24 years","Male","West","Thousand","14.1"
"Estimated Population (Persons in April)","2011","20 - 24 years","Male","Mid-West","Thousand","14.8"
"Estimated Population (Persons in April)","2011","20 - 24 years","Male","South-East","Thousand","12.4"
"Estimated Population (Persons in April)","2011","20 - 24 years","Male","South-West","Thousand","21.1"
"Estimated Population (Persons in April)","2011","20 - 24 years","Male","Dublin","Thousand","45.7"
"Estimated Population (Persons in April)","2011","20 - 24 years","Male","Mid-East","Thousand","19.7"
"Estimated Population (Persons in April)","2011","20 - 24 years","Male","Midland","Thousand","8.8"
"Estimated Population (Persons in April)","2011","20 - 24 years","Female","State","Thousand","149.9"
"Estimated Population (Persons in April)","2011","20 - 24 years","Female","Border","Thousand","11.8"
"Estimated Population (Persons in April)","2011","20 - 24 years","Female","West","Thousand","13.9"
"Estimated Population (Persons in April)","2011","20 - 24 years","Female","Mid-West","Thousand","14.4"
"Estimated Population (Persons in April)","2011","20 - 24 years","Female","South-East","Thousand","12.4"
"Estimated Population (Persons in April)","2011","20 - 24 years","Female","South-West","Thousand","21"
"Estimated Population (Persons in April)","2011","20 - 24 years","Female","Dublin","Thousand","47.9"
"Estimated Population (Persons in April)","2011","20 - 24 years","Female","Mid-East","Thousand","20"
"Estimated Population (Persons in April)","2011","20 - 24 years","Female","Midland","Thousand","8.6"
"Estimated Population (Persons in April)","2011","25 - 29 years","Both sexes","State","Thousand","362.9"
"Estimated Population (Persons in April)","2011","25 - 29 years","Both sexes","Border","Thousand","26.3"
"Estimated Population (Persons in April)","2011","25 - 29 years","Both sexes","West","Thousand","31.7"
"Estimated Population (Persons in April)","2011","25 - 29 years","Both sexes","Mid-West","Thousand","32.7"
"Estimated Population (Persons in April)","2011","25 - 29 years","Both sexes","South-East","Thousand","28.2"
"Estimated Population (Persons in April)","2011","25 - 29 years","Both sexes","South-West","Thousand","49.2"
"Estimated Population (Persons in April)","2011","25 - 29 years","Both sexes","Dublin","Thousand","125.9"
"Estimated Population (Persons in April)","2011","25 - 29 years","Both sexes","Mid-East","Thousand","47.8"
"Estimated Population (Persons in April)","2011","25 - 29 years","Both sexes","Midland","Thousand","21"
"Estimated Population (Persons in April)","2011","25 - 29 years","Male","State","Thousand","175.1"
"Estimated Population (Persons in April)","2011","25 - 29 years","Male","Border","Thousand","12.8"
"Estimated Population (Persons in April)","2011","25 - 29 years","Male","West","Thousand","15.6"
"Estimated Population (Persons in April)","2011","25 - 29 years","Male","Mid-West","Thousand","16.1"
"Estimated Population (Persons in April)","2011","25 - 29 years","Male","South-East","Thousand","13.6"
"Estimated Population (Persons in April)","2011","25 - 29 years","Male","South-West","Thousand","23.7"
"Estimated Population (Persons in April)","2011","25 - 29 years","Male","Dublin","Thousand","60.4"
"Estimated Population (Persons in April)","2011","25 - 29 years","Male","Mid-East","Thousand","22.7"
"Estimated Population (Persons in April)","2011","25 - 29 years","Male","Midland","Thousand","10.2"
"Estimated Population (Persons in April)","2011","25 - 29 years","Female","State","Thousand","187.8"
"Estimated Population (Persons in April)","2011","25 - 29 years","Female","Border","Thousand","13.4"
"Estimated Population (Persons in April)","2011","25 - 29 years","Female","West","Thousand","16.2"
"Estimated Population (Persons in April)","2011","25 - 29 years","Female","Mid-West","Thousand","16.6"
"Estimated Population (Persons in April)","2011","25 - 29 years","Female","South-East","Thousand","14.6"
"Estimated Population (Persons in April)","2011","25 - 29 years","Female","South-West","Thousand","25.5"
"Estimated Population (Persons in April)","2011","25 - 29 years","Female","Dublin","Thousand","65.5"
"Estimated Population (Persons in April)","2011","25 - 29 years","Female","Mid-East","Thousand","25.1"
"Estimated Population (Persons in April)","2011","25 - 29 years","Female","Midland","Thousand","10.8"
"Estimated Population (Persons in April)","2011","30 - 34 years","Both sexes","State","Thousand","393.4"
"Estimated Population (Persons in April)","2011","30 - 34 years","Both sexes","Border","Thousand","29.1"
"Estimated Population (Persons in April)","2011","30 - 34 years","Both sexes","West","Thousand","34.6"
"Estimated Population (Persons in April)","2011","30 - 34 years","Both sexes","Mid-West","Thousand","36.2"
"Estimated Population (Persons in April)","2011","30 - 34 years","Both sexes","South-East","Thousand","32.4"
"Estimated Population (Persons in April)","2011","30 - 34 years","Both sexes","South-West","Thousand","54.5"
"Estimated Population (Persons in April)","2011","30 - 34 years","Both sexes","Dublin","Thousand","127.2"
"Estimated Population (Persons in April)","2011","30 - 34 years","Both sexes","Mid-East","Thousand","56.4"
"Estimated Population (Persons in April)","2011","30 - 34 years","Both sexes","Midland","Thousand","23"
"Estimated Population (Persons in April)","2011","30 - 34 years","Male","State","Thousand","194.9"
"Estimated Population (Persons in April)","2011","30 - 34 years","Male","Border","Thousand","14.5"
"Estimated Population (Persons in April)","2011","30 - 34 years","Male","West","Thousand","17.3"
"Estimated Population (Persons in April)","2011","30 - 34 years","Male","Mid-West","Thousand","18.2"
"Estimated Population (Persons in April)","2011","30 - 34 years","Male","South-East","Thousand","16"
"Estimated Population (Persons in April)","2011","30 - 34 years","Male","South-West","Thousand","27"
"Estimated Population (Persons in April)","2011","30 - 34 years","Male","Dublin","Thousand","62.9"
"Estimated Population (Persons in April)","2011","30 - 34 years","Male","Mid-East","Thousand","27.6"
"Estimated Population (Persons in April)","2011","30 - 34 years","Male","Midland","Thousand","11.4"
"Estimated Population (Persons in April)","2011","30 - 34 years","Female","State","Thousand","198.5"
"Estimated Population (Persons in April)","2011","30 - 34 years","Female","Border","Thousand","14.6"
"Estimated Population (Persons in April)","2011","30 - 34 years","Female","West","Thousand","17.4"
"Estimated Population (Persons in April)","2011","30 - 34 years","Female","Mid-West","Thousand","18"
"Estimated Population (Persons in April)","2011","30 - 34 years","Female","South-East","Thousand","16.4"
"Estimated Population (Persons in April)","2011","30 - 34 years","Female","South-West","Thousand","27.5"
"Estimated Population (Persons in April)","2011","30 - 34 years","Female","Dublin","Thousand","64.3"
"Estimated Population (Persons in April)","2011","30 - 34 years","Female","Mid-East","Thousand","28.8"
"Estimated Population (Persons in April)","2011","30 - 34 years","Female","Midland","Thousand","11.6"
"Estimated Population (Persons in April)","2011","35 - 39 years","Both sexes","State","Thousand","363.1"
"Estimated Population (Persons in April)","2011","35 - 39 years","Both sexes","Border","Thousand","28.7"
"Estimated Population (Persons in April)","2011","35 - 39 years","Both sexes","West","Thousand","33.3"
"Estimated Population (Persons in April)","2011","35 - 39 years","Both sexes","Mid-West","Thousand","35.3"
"Estimated Population (Persons in April)","2011","35 - 39 years","Both sexes","South-East","Thousand","31.5"
"Estimated Population (Persons in April)","2011","35 - 39 years","Both sexes","South-West","Thousand","51.6"
"Estimated Population (Persons in April)","2011","35 - 39 years","Both sexes","Dublin","Thousand","103.7"
"Estimated Population (Persons in April)","2011","35 - 39 years","Both sexes","Mid-East","Thousand","56.9"
"Estimated Population (Persons in April)","2011","35 - 39 years","Both sexes","Midland","Thousand","22"
"Estimated Population (Persons in April)","2011","35 - 39 years","Male","State","Thousand","181.9"
"Estimated Population (Persons in April)","2011","35 - 39 years","Male","Border","Thousand","14.5"
"Estimated Population (Persons in April)","2011","35 - 39 years","Male","West","Thousand","16.6"
"Estimated Population (Persons in April)","2011","35 - 39 years","Male","Mid-West","Thousand","17.8"
"Estimated Population (Persons in April)","2011","35 - 39 years","Male","South-East","Thousand","15.8"
"Estimated Population (Persons in April)","2011","35 - 39 years","Male","South-West","Thousand","26.1"
"Estimated Population (Persons in April)","2011","35 - 39 years","Male","Dublin","Thousand","51.9"
"Estimated Population (Persons in April)","2011","35 - 39 years","Male","Mid-East","Thousand","28.2"
"Estimated Population (Persons in April)","2011","35 - 39 years","Male","Midland","Thousand","11.1"
"Estimated Population (Persons in April)","2011","35 - 39 years","Female","State","Thousand","181.2"
"Estimated Population (Persons in April)","2011","35 - 39 years","Female","Border","Thousand","14.2"
"Estimated Population (Persons in April)","2011","35 - 39 years","Female","West","Thousand","16.7"
"Estimated Population (Persons in April)","2011","35 - 39 years","Female","Mid-West","Thousand","17.5"
"Estimated Population (Persons in April)","2011","35 - 39 years","Female","South-East","Thousand","15.7"
"Estimated Population (Persons in April)","2011","35 - 39 years","Female","South-West","Thousand","25.4"
"Estimated Population (Persons in April)","2011","35 - 39 years","Female","Dublin","Thousand","51.9"
"Estimated Population (Persons in April)","2011","35 - 39 years","Female","Mid-East","Thousand","28.7"
"Estimated Population (Persons in April)","2011","35 - 39 years","Female","Midland","Thousand","10.9"
"Estimated Population (Persons in April)","2011","40 - 44 years","Both sexes","State","Thousand","329.3"
"Estimated Population (Persons in April)","2011","40 - 44 years","Both sexes","Border","Thousand","27.7"
"Estimated Population (Persons in April)","2011","40 - 44 years","Both sexes","West","Thousand","31.2"
"Estimated Population (Persons in April)","2011","40 - 44 years","Both sexes","Mid-West","Thousand","33.4"
"Estimated Population (Persons in April)","2011","40 - 44 years","Both sexes","South-East","Thousand","29.9"
"Estimated Population (Persons in April)","2011","40 - 44 years","Both sexes","South-West","Thousand","47.7"
"Estimated Population (Persons in April)","2011","40 - 44 years","Both sexes","Dublin","Thousand","87.4"
"Estimated Population (Persons in April)","2011","40 - 44 years","Both sexes","Mid-East","Thousand","51.4"
"Estimated Population (Persons in April)","2011","40 - 44 years","Both sexes","Midland","Thousand","20.7"
"Estimated Population (Persons in April)","2011","40 - 44 years","Male","State","Thousand","165.9"
"Estimated Population (Persons in April)","2011","40 - 44 years","Male","Border","Thousand","14"
"Estimated Population (Persons in April)","2011","40 - 44 years","Male","West","Thousand","15.8"
"Estimated Population (Persons in April)","2011","40 - 44 years","Male","Mid-West","Thousand","16.9"
"Estimated Population (Persons in April)","2011","40 - 44 years","Male","South-East","Thousand","15.1"
"Estimated Population (Persons in April)","2011","40 - 44 years","Male","South-West","Thousand","24.2"
"Estimated Population (Persons in April)","2011","40 - 44 years","Male","Dublin","Thousand","43.5"
"Estimated Population (Persons in April)","2011","40 - 44 years","Male","Mid-East","Thousand","25.9"
"Estimated Population (Persons in April)","2011","40 - 44 years","Male","Midland","Thousand","10.5"
"Estimated Population (Persons in April)","2011","40 - 44 years","Female","State","Thousand","163.4"
"Estimated Population (Persons in April)","2011","40 - 44 years","Female","Border","Thousand","13.6"
"Estimated Population (Persons in April)","2011","40 - 44 years","Female","West","Thousand","15.4"
"Estimated Population (Persons in April)","2011","40 - 44 years","Female","Mid-West","Thousand","16.5"
"Estimated Population (Persons in April)","2011","40 - 44 years","Female","South-East","Thousand","14.8"
"Estimated Population (Persons in April)","2011","40 - 44 years","Female","South-West","Thousand","23.5"
"Estimated Population (Persons in April)","2011","40 - 44 years","Female","Dublin","Thousand","43.9"
"Estimated Population (Persons in April)","2011","40 - 44 years","Female","Mid-East","Thousand","25.5"
"Estimated Population (Persons in April)","2011","40 - 44 years","Female","Midland","Thousand","10.2"
"Estimated Population (Persons in April)","2011","45 - 49 years","Both sexes","State","Thousand","304.1"
"Estimated Population (Persons in April)","2011","45 - 49 years","Both sexes","Border","Thousand","26.1"
"Estimated Population (Persons in April)","2011","45 - 49 years","Both sexes","West","Thousand","29.2"
"Estimated Population (Persons in April)","2011","45 - 49 years","Both sexes","Mid-West","Thousand","31.5"
"Estimated Population (Persons in April)","2011","45 - 49 years","Both sexes","South-East","Thousand","28.3"
"Estimated Population (Persons in April)","2011","45 - 49 years","Both sexes","South-West","Thousand","45.5"
"Estimated Population (Persons in April)","2011","45 - 49 years","Both sexes","Dublin","Thousand","79.4"
"Estimated Population (Persons in April)","2011","45 - 49 years","Both sexes","Mid-East","Thousand","45.4"
"Estimated Population (Persons in April)","2011","45 - 49 years","Both sexes","Midland","Thousand","18.8"
"Estimated Population (Persons in April)","2011","45 - 49 years","Male","State","Thousand","151.3"
"Estimated Population (Persons in April)","2011","45 - 49 years","Male","Border","Thousand","13.1"
"Estimated Population (Persons in April)","2011","45 - 49 years","Male","West","Thousand","14.7"
"Estimated Population (Persons in April)","2011","45 - 49 years","Male","Mid-West","Thousand","15.8"
"Estimated Population (Persons in April)","2011","45 - 49 years","Male","South-East","Thousand","14.1"
"Estimated Population (Persons in April)","2011","45 - 49 years","Male","South-West","Thousand","22.9"
"Estimated Population (Persons in April)","2011","45 - 49 years","Male","Dublin","Thousand","38.3"
"Estimated Population (Persons in April)","2011","45 - 49 years","Male","Mid-East","Thousand","22.8"
"Estimated Population (Persons in April)","2011","45 - 49 years","Male","Midland","Thousand","9.5"
"Estimated Population (Persons in April)","2011","45 - 49 years","Female","State","Thousand","152.9"
"Estimated Population (Persons in April)","2011","45 - 49 years","Female","Border","Thousand","13"
"Estimated Population (Persons in April)","2011","45 - 49 years","Female","West","Thousand","14.6"
"Estimated Population (Persons in April)","2011","45 - 49 years","Female","Mid-West","Thousand","15.7"
"Estimated Population (Persons in April)","2011","45 - 49 years","Female","South-East","Thousand","14.1"
"Estimated Population (Persons in April)","2011","45 - 49 years","Female","South-West","Thousand","22.6"
"Estimated Population (Persons in April)","2011","45 - 49 years","Female","Dublin","Thousand","41.1"
"Estimated Population (Persons in April)","2011","45 - 49 years","Female","Mid-East","Thousand","22.5"
"Estimated Population (Persons in April)","2011","45 - 49 years","Female","Midland","Thousand","9.3"
"Estimated Population (Persons in April)","2011","50 - 54 years","Both sexes","State","Thousand","273.7"
"Estimated Population (Persons in April)","2011","50 - 54 years","Both sexes","Border","Thousand","24"
"Estimated Population (Persons in April)","2011","50 - 54 years","Both sexes","West","Thousand","27.7"
"Estimated Population (Persons in April)","2011","50 - 54 years","Both sexes","Mid-West","Thousand","29.2"
"Estimated Population (Persons in April)","2011","50 - 54 years","Both sexes","South-East","Thousand","25.3"
"Estimated Population (Persons in April)","2011","50 - 54 years","Both sexes","South-West","Thousand","40.9"
"Estimated Population (Persons in April)","2011","50 - 54 years","Both sexes","Dublin","Thousand","71.4"
"Estimated Population (Persons in April)","2011","50 - 54 years","Both sexes","Mid-East","Thousand","38.2"
"Estimated Population (Persons in April)","2011","50 - 54 years","Both sexes","Midland","Thousand","17"
"Estimated Population (Persons in April)","2011","50 - 54 years","Male","State","Thousand","136.7"
"Estimated Population (Persons in April)","2011","50 - 54 years","Male","Border","Thousand","12.1"
"Estimated Population (Persons in April)","2011","50 - 54 years","Male","West","Thousand","13.9"
"Estimated Population (Persons in April)","2011","50 - 54 years","Male","Mid-West","Thousand","14.9"
"Estimated Population (Persons in April)","2011","50 - 54 years","Male","South-East","Thousand","12.7"
"Estimated Population (Persons in April)","2011","50 - 54 years","Male","South-West","Thousand","20.6"
"Estimated Population (Persons in April)","2011","50 - 54 years","Male","Dublin","Thousand","34.6"
"Estimated Population (Persons in April)","2011","50 - 54 years","Male","Mid-East","Thousand","19.2"
"Estimated Population (Persons in April)","2011","50 - 54 years","Male","Midland","Thousand","8.7"
"Estimated Population (Persons in April)","2011","50 - 54 years","Female","State","Thousand","137.1"
"Estimated Population (Persons in April)","2011","50 - 54 years","Female","Border","Thousand","12"
"Estimated Population (Persons in April)","2011","50 - 54 years","Female","West","Thousand","13.8"
"Estimated Population (Persons in April)","2011","50 - 54 years","Female","Mid-West","Thousand","14.3"
"Estimated Population (Persons in April)","2011","50 - 54 years","Female","South-East","Thousand","12.6"
"Estimated Population (Persons in April)","2011","50 - 54 years","Female","South-West","Thousand","20.3"
"Estimated Population (Persons in April)","2011","50 - 54 years","Female","Dublin","Thousand","36.9"
"Estimated Population (Persons in April)","2011","50 - 54 years","Female","Mid-East","Thousand","19"
"Estimated Population (Persons in April)","2011","50 - 54 years","Female","Midland","Thousand","8.2"
"Estimated Population (Persons in April)","2011","55 - 59 years","Both sexes","State","Thousand","243.4"
"Estimated Population (Persons in April)","2011","55 - 59 years","Both sexes","Border","Thousand","22"
"Estimated Population (Persons in April)","2011","55 - 59 years","Both sexes","West","Thousand","25.3"
"Estimated Population (Persons in April)","2011","55 - 59 years","Both sexes","Mid-West","Thousand","26.6"
"Estimated Population (Persons in April)","2011","55 - 59 years","Both sexes","South-East","Thousand","22.5"
"Estimated Population (Persons in April)","2011","55 - 59 years","Both sexes","South-West","Thousand","36.7"
"Estimated Population (Persons in April)","2011","55 - 59 years","Both sexes","Dublin","Thousand","62.4"
"Estimated Population (Persons in April)","2011","55 - 59 years","Both sexes","Mid-East","Thousand","33"
"Estimated Population (Persons in April)","2011","55 - 59 years","Both sexes","Midland","Thousand","14.9"
"Estimated Population (Persons in April)","2011","55 - 59 years","Male","State","Thousand","121.8"
"Estimated Population (Persons in April)","2011","55 - 59 years","Male","Border","Thousand","11.3"
"Estimated Population (Persons in April)","2011","55 - 59 years","Male","West","Thousand","12.8"
"Estimated Population (Persons in April)","2011","55 - 59 years","Male","Mid-West","Thousand","13.6"
"Estimated Population (Persons in April)","2011","55 - 59 years","Male","South-East","Thousand","11.4"
"Estimated Population (Persons in April)","2011","55 - 59 years","Male","South-West","Thousand","18.6"
"Estimated Population (Persons in April)","2011","55 - 59 years","Male","Dublin","Thousand","30"
"Estimated Population (Persons in April)","2011","55 - 59 years","Male","Mid-East","Thousand","16.5"
"Estimated Population (Persons in April)","2011","55 - 59 years","Male","Midland","Thousand","7.7"
"Estimated Population (Persons in April)","2011","55 - 59 years","Female","State","Thousand","121.6"
"Estimated Population (Persons in April)","2011","55 - 59 years","Female","Border","Thousand","10.7"
"Estimated Population (Persons in April)","2011","55 - 59 years","Female","West","Thousand","12.4"
